Isolate,ST,Replicate,OD600,OD570,Normalized OD570,month,day,year,experiment,plate
128,48,3,0.636,0.187,0.294025157,1,25,2018,2,1
128,48,4,0.713,0.245,0.343618513,1,25,2018,2,1
128,48,5,0.603,0.19,0.315091211,1,25,2018,2,1
128,48,6,0.665,0.253,0.380451128,1,25,2018,2,1
129,48,1,0.445,0.383,0.860674157,1,25,2018,2,1
129,48,2,0.544,0.337,0.619485294,1,25,2018,2,1
129,48,3,0.468,0.394,0.841880342,1,25,2018,2,1
129,48,4,0.491,0.343,0.698574338,1,25,2018,2,1
129,48,5,0.491,0.872,1.775967413,1,25,2018,2,1
129,48,6,0.498,0.344,0.690763052,1,25,2018,2,1
58,48,1,0.493,1.777,3.604462475,2,2,2018,3,1
58,48,2,0.494,2.159,4.370445344,2,2,2018,3,1
58,48,3,0.45,1.787,3.971111111,2,2,2018,3,1
58,48,4,0.475,1.878,3.953684211,2,2,2018,3,1
58,48,5,0.448,2.166,4.834821429,2,2,2018,3,1
58,48,6,0.469,0.766,1.63326226,2,2,2018,3,1
58,48,7,0.419,2.094,4.997613365,2,2,2018,3,1
58,48,8,0.451,0.663,1.470066519,2,2,2018,3,1
58,48,9,0.528,2.068,3.916666667,2,2,2018,3,1
58,48,10,0.473,2.291,4.843551797,2,2,2018,3,1
58,48,11,0.497,2.181,4.38832998,2,2,2018,3,1
58,48,12,0.486,2.223,4.574074074,2,2,2018,3,1
83,48,1,0.596,1.301,2.182885906,2,2,2018,3,1
83,48,2,0.476,1.377,2.892857143,2,2,2018,3,1
83,48,3,0.507,1.301,2.566074951,2,2,2018,3,1
83,48,4,0.487,1.429,2.934291581,2,2,2018,3,1
83,48,5,0.481,1.497,3.112266112,2,2,2018,3,1
83,48,6,0.455,1.266,2.782417582,2,2,2018,3,1
83,48,7,0.474,1.552,3.274261603,2,2,2018,3,1
83,48,8,0.458,1.559,3.403930131,2,2,2018,3,1
83,48,9,0.526,1.334,2.536121673,2,2,2018,3,1
83,48,10,0.488,1.123,2.301229508,2,2,2018,3,1
83,48,11,0.54,1.074,1.988888889,2,2,2018,3,1
83,48,12,0.548,1.551,2.830291971,2,2,2018,3,1
86,48,1,0.407,1.643,4.036855037,2,2,2018,3,1
86,48,2,0.414,1.118,2.700483092,2,2,2018,3,1
86,48,3,0.353,1.507,4.269121813,2,2,2018,3,1
86,48,4,0.376,1.651,4.390957447,2,2,2018,3,1
86,48,5,0.427,2.018,4.725995316,2,2,2018,3,1
86,48,6,0.484,1.893,3.911157025,2,2,2018,3,1
